Timestamp,Close,Return,Signal,Position,Turnover,Costs,StrategyReturn,Equity
2010-01-01,1.4389938116073608,0.0,0,0,0.0,0.0,0.0,10000.0
2010-01-04,1.4423978328704834,0.002365556568530547,0,0,0.0,0.0,0.0,10000.0
2010-01-05,1.4365959167480469,-0.004022410454465386,0,0,0.0,0.0,-0.0,10000.0
2010-01-06,1.4404033422470093,0.0026503106785804587,0,0,0.0,0.0,0.0,10000.0
2010-01-07,1.4318032264709473,-0.0059706302559989766,0,0,0.0,0.0,-0.0,10000.0
2010-01-08,1.44110906124115,0.006499381058903797,0,0,0.0,0.0,0.0,10000.0
2010-01-11,1.4511260986328125,0.0069509224950923265,0,0,0.0,0.0,0.0,10000.0
2010-01-12,1.447659969329834,-0.0023885789844481087,0,0,0.0,0.0,-0.0,10000.0
2010-01-13,1.4523905515670776,0.0032677440403587887,0,0,0.0,0.0,0.0,10000.0
2010-01-14,1.4499897956848145,-0.0016529685349941925,0,0,0.0,0.0,-0.0,10000.0
2010-01-15,1.4390974044799805,-0.007512046800087768,0,0,0.0,0.0,-0.0,10000.0
2010-01-18,1.4406731128692627,0.0010949282406993444,0,0,0.0,0.0,0.0,10000.0
2010-01-19,1.4281021356582642,-0.008725766517542644,0,0,0.0,0.0,-0.0,10000.0
2010-01-20,1.4110342264175415,-0.011951462584190775,0,0,0.0,0.0,-0.0,10000.0
2010-01-21,1.409701585769653,-0.0009444424684664776,0,0,0.0,0.0,-0.0,10000.0
2010-01-22,1.414107084274292,0.0031251284308044802,0,0,0.0,0.0,0.0,10000.0
2010-01-25,1.4150075912475586,0.0006368025330476534,0,0,0.0,0.0,0.0,10000.0
2010-01-26,1.4082324504852295,-0.004788059657231725,0,0,0.0,0.0,-0.0,10000.0
2010-01-27,1.4030951261520386,-0.003648065581375315,0,0,0.0,0.0,-0.0,10000.0
2010-01-28,1.3968042135238647,-0.004483596664915046,0,0,0.0,0.0,-0.0,10000.0
2010-01-29,1.386693239212036,-0.007238648204189513,0,0,0.0,0.0,-0.0,10000.0
2010-02-01,1.3926994800567627,0.004331340685081564,0,0,0.0,0.0,0.0,10000.0
2010-02-02,1.3976240158081057,0.0035359643784331762,0,0,0.0,0.0,0.0,10000.0
2010-02-03,1.3901052474975586,-0.0053796788159795605,0,0,0.0,0.0,-0.0,10000.0
2010-02-04,1.3744947910308838,-0.01122969393488471,0,0,0.0,0.0,-0.0,10000.0
2010-02-05,1.368007779121399,-0.004719560926542021,0,0,0.0,0.0,-0.0,10000.0
2010-02-08,1.3654673099517822,-0.0018570575463016104,0,0,0.0,0.0,-0.0,10000.0
2010-02-09,1.378207802772522,0.009330500062421532,0,0,0.0,0.0,0.0,10000.0
2010-02-10,1.3753266334533691,-0.002090518797932206,0,0,0.0,0.0,-0.0,10000.0
2010-02-11,1.3681762218475342,-0.005199064303641587,0,0,0.0,0.0,-0.0,10000.0
2010-02-12,1.363493800163269,-0.0034223820071527244,0,0,0.0,0.0,-0.0,10000.0
2010-02-15,1.3603036403656006,-0.002339695125336494,0,0,0.0,0.0,-0.0,10000.0
2010-02-16,1.3767088651657104,0.012059972724693058,0,0,0.0,0.0,0.0,10000.0
2010-02-17,1.360692262649536,-0.01163397935571997,0,0,0.0,0.0,-0.0,10000.0
2010-02-18,1.3461486101150513,-0.010688421573122886,0,0,0.0,0.0,-0.0,10000.0
2010-02-19,1.3615074157714844,0.011409442866133768,0,0,0.0,0.0,0.0,10000.0
2010-02-22,1.3605626821517944,-0.000693887972071483,0,0,0.0,0.0,-0.0,10000.0
2010-02-23,1.3527040481567385,-0.00577601759782731,0,0,0.0,0.0,-0.0,10000.0
2010-02-24,1.354316234588623,0.0011918249480227239,0,0,0.0,0.0,0.0,10000.0
2010-02-25,1.3536012172698977,-0.0005279544765574018,0,0,0.0,0.0,-0.0,10000.0
2010-02-26,1.3631035089492798,0.007020008225574248,0,0,0.0,0.0,0.0,10000.0
2010-03-01,1.356208086013794,-0.005058620192974983,0,0,0.0,0.0,-0.0,10000.0
