Timestamp,Close,Return,Signal,Position,Turnover,Costs,StrategyReturn,Equity
2010-01-29,1.386693239212036,0.0,0,0,0.0,0.0,0.0,10000.0
2010-02-01,1.3926994800567627,0.004331340685081564,0,0,0.0,0.0,0.0,10000.0
2010-02-02,1.3976240158081057,0.0035359643784331762,0,0,0.0,0.0,0.0,10000.0
2010-02-03,1.3901052474975586,-0.0053796788159795605,0,0,0.0,0.0,-0.0,10000.0
2010-02-04,1.3744947910308838,-0.01122969393488471,0,0,0.0,0.0,-0.0,10000.0
2010-02-05,1.368007779121399,-0.004719560926542021,0,0,0.0,0.0,-0.0,10000.0
2010-02-08,1.3654673099517822,-0.0018570575463016104,0,0,0.0,0.0,-0.0,10000.0
2010-02-09,1.378207802772522,0.009330500062421532,0,0,0.0,0.0,0.0,10000.0
2010-02-10,1.3753266334533691,-0.002090518797932206,0,0,0.0,0.0,-0.0,10000.0
2010-02-11,1.3681762218475342,-0.005199064303641587,0,0,0.0,0.0,-0.0,10000.0
2010-02-12,1.363493800163269,-0.0034223820071527244,0,0,0.0,0.0,-0.0,10000.0
2010-02-15,1.3603036403656006,-0.002339695125336494,0,0,0.0,0.0,-0.0,10000.0
2010-02-16,1.3767088651657104,0.012059972724693058,0,0,0.0,0.0,0.0,10000.0
2010-02-17,1.360692262649536,-0.01163397935571997,0,0,0.0,0.0,-0.0,10000.0
2010-02-18,1.3461486101150513,-0.010688421573122886,0,0,0.0,0.0,-0.0,10000.0
2010-02-19,1.3615074157714844,0.011409442866133768,0,0,0.0,0.0,0.0,10000.0
2010-02-22,1.3605626821517944,-0.000693887972071483,0,0,0.0,0.0,-0.0,10000.0
2010-02-23,1.3527040481567385,-0.00577601759782731,0,0,0.0,0.0,-0.0,10000.0
2010-02-24,1.354316234588623,0.0011918249480227239,0,0,0.0,0.0,0.0,10000.0
2010-02-25,1.3536012172698977,-0.0005279544765574018,0,0,0.0,0.0,-0.0,10000.0
2010-02-26,1.3631035089492798,0.007020008225574248,0,0,0.0,0.0,0.0,10000.0
2010-03-01,1.356208086013794,-0.005058620192974983,0,0,0.0,0.0,-0.0,10000.0
2010-03-02,1.3620638847351074,0.0043177730480319365,0,0,0.0,0.0,0.0,10000.0
2010-03-03,1.3701633214950562,0.005946444106418536,0,0,0.0,0.0,0.0,10000.0
2010-03-04,1.3584003448486328,-0.008585090887988533,0,0,0.0,0.0,-0.0,10000.0
2010-03-05,1.3628991842269895,0.003311865603845998,0,0,0.0,0.0,0.0,10000.0
2010-03-08,1.3616927862167358,-0.0008851703957383217,0,0,0.0,0.0,-0.0,10000.0
2010-03-09,1.360692262649536,-0.0007347645352369092,0,0,0.0,0.0,-0.0,10000.0
2010-03-10,1.3643310070037842,0.002674186114032029,0,0,0.0,0.0,0.0,10000.0
2010-03-11,1.3685319423675537,0.003079117415204946,0,0,0.0,0.0,0.0,10000.0
2010-03-12,1.376993179321289,0.006182710605276309,0,0,0.0,0.0,0.0,10000.0
2010-03-15,1.3677457571029663,-0.0067156630527979155,0,0,0.0,0.0,-0.0,10000.0
2010-03-16,1.3768794536590576,0.006677919860952342,0,0,0.0,0.0,0.0,10000.0
2010-03-17,1.3738338947296145,-0.0022119285180337567,0,0,0.0,0.0,-0.0,10000.0
2010-03-18,1.361396312713623,-0.009053191993373622,0,0,0.0,0.0,-0.0,10000.0
2010-03-19,1.353692889213562,-0.005658472428727301,0,0,0.0,0.0,-0.0,10000.0
2010-03-22,1.356704831123352,0.002224981702858564,0,0,0.0,0.0,0.0,10000.0
2010-03-23,1.3468012809753418,-0.00729970876554642,0,0,0.0,0.0,-0.0,10000.0
2010-03-24,1.3331022262573242,-0.010171548625270699,0,0,0.0,0.0,-0.0,10000.0
2010-03-25,1.3307074308395386,-0.0017964079352781326,0,0,0.0,0.0,-0.0,10000.0
2010-03-26,1.3410038948059082,0.007737586585710776,0,0,0.0,0.0,0.0,10000.0
2010-03-29,1.3481086492538452,0.005298086363101362,0,0,0.0,0.0,0.0,10000.0
2010-03-30,1.3424079418182373,-0.004228670618472097,0,0,0.0,0.0,-0.0,10000.0
2010-03-31,1.3508037328720093,0.006254276954291704,0,0,0.0,0.0,0.0,10000.0
2010-04-01,1.3584003448486328,0.0056237718269196435,0,0,0.0,0.0,0.0,10000.0
2010-04-02,1.3504936695098877,-0.005820578129804743,0,0,0.0,0.0,-0.0,10000.0
2010-04-05,1.34890878200531,-0.0011735615948150757,0,0,0.0,0.0,-0.0,10000.0
2010-04-06,1.3401951789855957,-0.006459742227165721,0,0,0.0,0.0,-0.0,10000.0
2010-04-07,1.3348461389541626,-0.003991239571150995,0,0,0.0,0.0,-0.0,10000.0
2010-04-08,1.336112380027771,0.0009486045145250532,-1,0,0.0,0.0,0.0,10000.0
2010-04-09,1.350092530250549,0.010463304158956799,-1,-1,1.0,0.00015,-0.0106133041589568,9893.866958410432
2010-04-12,1.3596007823944092,0.007042667025270788,-1,-1,0.0,0.0,-0.007042667025270788,9824.18774783002
2010-04-13,1.360858917236328,0.0009253707839906866,-1,-1,0.0,0.0,-0.0009253707839906866,9815.096731511738
2010-04-14,1.3655978441238403,0.0034823057904755927,-1,-1,0.0,0.0,-0.0034823057904755927,9780.917563329516
2010-04-15,1.3574045896530151,-0.005999756448123228,-1,-1,0.0,0.0,0.005999756448123228,9839.600686548665
2010-04-16,1.3504024744033811,-0.005158458504567087,-1,-1,0.0,0.0,0.005158458504567087,9890.357858391735
2010-04-19,1.348726749420166,-0.0012409078145058094,-1,-1,0.0,0.0,0.0012409078145058094,9902.630880746474
2010-04-20,1.343508243560791,-0.003869209134925611,-1,-1,0.0,0.0,0.003869209134925611,9940.946230610054
2010-04-21,1.3389928340911863,-0.0033609093887189134,-1,-1,0.0,0.0,0.0033609093887189134,9974.356850129261
2010-04-22,1.3269991874694824,-0.008957214942710512,-1,-1,0.0,0.0,0.008957214942710512,10063.699308351164
2010-04-23,1.338401436805725,0.008592506645001219,-1,-1,0.0,0.0,-0.008592506645001219,9977.226905170863
2010-04-26,1.3401232957839966,0.0012865041316609815,-1,-1,0.0,0.0,-0.0012865041316609815,9964.39116153484
