model,profit_horizon_days,neutral_band,split_date,threshold,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,num_position_changes
rf,3,0.0005,2019-01-01,0.52,-0.011045253761531426,-0.0015863126718048681,0.04661395210397476,-0.01077433450409378,-0.09588186340791371,487
rf,3,0.0005,2019-01-01,0.55,-0.08848621296529213,-0.013155712928417884,0.02855894825751939,-0.4494159486176537,-0.13066383106105206,290
rf,3,0.0005,2019-01-01,0.57,-0.025935407849802194,-0.0037490356439621175,0.0175268186266883,-0.20554682432462448,-0.051492101173558846,145
rf,3,0.0005,2019-01-01,0.6,0.009822079637378023,0.0013980764859080619,0.006628672128870098,0.21408054047482858,-0.014355439280167026,44
rf,3,0.0005,2019-01-01,0.62,-0.009386749771246428,-0.001347153545194657,0.0033183432295447895,-0.4045817138659853,-0.011803014298515935,16
rf,3,0.0005,2019-01-01,0.65,-0.0008067812692912346,-0.00011535973063514504,0.0002546367402010565,-0.45293513021716714,-0.0008067812692912346,2
rf,3,0.0005,2019-01-01,0.68,0.0,0.0,0.0,0.0,0.0,0
